time,value
41.93777,0.01043266
41.97091,0.01037029
42.00765,0.01031101
42.04159,0.01030319
42.05756,0.01028007
42.07391,0.01025829
42.09055,0.01022236
42.10705,0.01019299
42.16317,0.01014187
42.17974,0.01012737
42.19631,0.01041351
42.21326,0.01038364
42.24624,0.01032776
42.26257,0.01029346
42.27921,0.01026756
42.31853,0.01021042
42.33518,0.01026978
42.35166,0.01024193
42.3848,0.01018726
42.40136,0.01017406
42.41814,0.01013546
42.46781,0.01008904
42.48441,0.01015579
42.50094,0.01026978
42.51788,0.0102428
42.55064,0.01019245
42.56721,0.01017193
42.58385,0.01013454
42.60034,0.01010914
42.62368,0.01008579
42.65682,0.01013168
42.67339,0.0101144
42.68995,0.0100819
42.70652,0.01005787
42.72377,0.01003445
42.75674,0.009998436
42.79784,0.009952316
42.8147,0.01004223
42.83125,0.01001942
42.84782,0.01000072
42.86438,0.009978333
42.88095,0.009956474
42.89764,0.009935341
42.93922,0.009896278
42.97236,0.009973526
42.98893,0.00995266
43.00549,0.009931068
43.02206,0.009910926
43.04016,0.009889945
43.0733,0.00987236
43.13056,0.009833755
43.16348,0.0101247
43.19624,0.01007042
43.21281,0.01004154
43.22945,0.01001629
43.2717,0.009971122
43.28841,0.010075
43.30539,0.01005085
43.3214,0.01002846
43.33797,0.01000996
43.35453,0.009978752
43.37134,0.009956093
43.40984,0.009916
43.44331,0.009947853
43.47629,0.009909095
43.49268,0.009883499
43.50927,0.009865799
43.55605,0.009823723
43.58615,0.009810829
43.61419,0.009974098
43.6312,0.01013866
43.67517,0.01024651
43.69151,0.01036247
43.71665,0.01033363
43.73412,0.01029804
43.76635,0.01036472
43.78309,0.01032383
43.80009,0.01028652
43.81607,0.01025764
43.83261,0.01023258
43.84918,0.0101952
43.87514,0.01016556
43.89183,0.01013741
43.90828,0.01023899
43.92502,0.01021099
43.95801,0.01015346
43.97499,0.01013115
43.99111,0.01009502
44.00799,0.01007439
44.02918,0.01004162
44.06232,0.01005974
44.07894,0.01003651
44.10548,0.01000809
44.12204,0.009984397
44.13889,0.01009708
44.15518,0.01007038
44.17187,0.0100481
44.20154,0.01001808
44.22037,0.009994316
44.25382,0.01015308
44.2868,0.01010078
44.31978,0.01004482
44.33633,0.01002396
44.36295,0.009990997
44.37975,0.009965744
44.41272,0.01005596
44.42922,0.01003555
44.44579,0.01000164
44.47892,0.009950523
44.51938,0.009903107
44.55252,0.009957084
44.56908,0.009932975
44.58565,0.009909668
44.61909,0.009863815
44.63609,0.009846764
44.65207,0.009824333
44.6902,0.009780426
44.72334,0.009807281
44.74004,0.00979065
44.75647,0.009766159
44.77305,0.009748153
44.7896,0.009726563
44.80617,0.00970829
44.82795,0.009689331
44.86198,0.009724732
44.87794,0.009712334
44.89422,0.009699783
44.91093,0.009673157
44.92735,0.009651146
44.94392,0.009635925
44.9609,0.009617271
45.00486,0.009590492
45.03799,0.009703522
45.05483,0.009690208
45.07112,0.009666214
45.08781,0.0096521
45.11234,0.009630508
45.15996,0.009706612
